Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71475391,0,"Sunday, October 17, 2010 16:27:48 UTC",38.8317,-122.8632,1.0,1.60,14,"Northern California"
us,2010cma9,Q,"Sunday, October 17, 2010 16:25:01 UTC",-0.5245,149.1337,4.9,88.20,20,"New Ireland region, Papua New Guinea"
ci,14862348,2,"Sunday, October 17, 2010 16:13:51 UTC",33.7788,-116.0920,1.3,1.20,27,"Southern California"
nc,71475376,0,"Sunday, October 17, 2010 16:12:22 UTC",38.5975,-122.6988,1.7,3.20,13,"Northern California"
