Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14509980,1,"Saturday, September 12, 2009 20:54:21 UTC",33.7051,-116.7585,1.3,16.80,36,"Southern California"
ci,14509972,1,"Saturday, September 12, 2009 20:53:36 UTC",33.9730,-117.1920,1.5,12.30,37,"Greater Los Angeles area, California"
nc,71280176,0,"Saturday, September 12, 2009 20:23:23 UTC",37.9530,-118.6118,1.7,6.60, 8,"Central California"
us,2009llbc,7,"Saturday, September 12, 2009 20:06:25 UTC",10.7570,-67.8473,6.4,10.00,197,"offshore Aragua, Venezuela"
