Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,10481661,1,"Friday, October 16, 2009 05:46:42 UTC",35.5831,-118.4700,2.0,7.30,35,"Central California"
ci,10481653,1,"Friday, October 16, 2009 05:41:16 UTC",36.4138,-117.8496,2.3,5.90,27,"Central California"
ci,10481645,1,"Friday, October 16, 2009 05:38:23 UTC",35.4133,-117.8011,1.4,7.50,35,"Southern California"
ci,10481637,1,"Friday, October 16, 2009 05:35:26 UTC",34.1446,-117.4136,1.6,7.80,64,"Greater Los Angeles area, California"
ak,10015043,1,"Friday, October 16, 2009 05:34:30 UTC",61.6873,-149.7390,1.8,29.90,19,"Southern Alaska"
us,2009mvam,6,"Friday, October 16, 2009 05:20:45 UTC",13.1983,-89.1544,4.8,65.90,87,"offshore El Salvador"
pr,p0928902,1,"Friday, October 16, 2009 05:16:07 UTC",18.3470,-64.6720,3.7,92.00,26,"Saint John, U.S. Virgin Islands"
ci,10481629,1,"Friday, October 16, 2009 05:14:52 UTC",33.9748,-116.6738,1.2,9.60,41,"Southern California"
nn,00295376,1,"Friday, October 16, 2009 05:01:00 UTC",38.4610,-118.2690,2.5,0.00,54,"Nevada"
us,2009mvaj,6,"Friday, October 16, 2009 05:00:47 UTC",52.6003,-166.8901,4.5,8.30,20,"Fox Islands, Aleutian Islands, Alaska"
ak,10015033,1,"Friday, October 16, 2009 04:59:04 UTC",63.1223,-151.4347,1.4,0.10,10,"Central Alaska"
