Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,10825117,2,"Saturday, October 23, 2010 20:42:28 UTC",32.6315,-115.6707,2.6,11.30,45,"Baja California, Mexico"
ak,10107354,1,"Saturday, October 23, 2010 20:42:06 UTC",59.8683,-140.4348,2.3,14.10,18,"Southeastern Alaska"
ci,10825109,2,"Saturday, October 23, 2010 20:40:16 UTC",32.6568,-115.8587,1.6,7.30,13,"Southern California"
ci,10825101,2,"Saturday, October 23, 2010 20:26:25 UTC",34.3845,-118.5017,1.6,15.40,11,"Greater Los Angeles area, California"
nc,71477956,1,"Saturday, October 23, 2010 20:25:31 UTC",38.8098,-122.7928,1.5,3.60,28,"Northern California"
ci,10825093,2,"Saturday, October 23, 2010 20:21:39 UTC",33.0553,-116.4395,1.3,7.60,31,"Southern California"
nc,71477951,0,"Saturday, October 23, 2010 20:10:57 UTC",36.5448,-121.1337,1.3,4.80,10,"Central California"
