Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,40238567,1,"Sunday, June 21, 2009 20:45:53 UTC",38.8060,-122.7735,1.0,0.60,15,"Northern California"
ci,14477920,1,"Sunday, June 21, 2009 20:36:50 UTC",36.3851,-117.8266,1.5,4.00,18,"Central California"
ak,00109772,1,"Sunday, June 21, 2009 20:33:30 UTC",61.2765,-151.6014,1.6,78.20, 6,"Southern Alaska"
nc,40238564,1,"Sunday, June 21, 2009 20:01:39 UTC",35.6400,-120.9253,1.1,7.10,20,"Central California"
ak,00109770,1,"Sunday, June 21, 2009 19:52:02 UTC",60.8697,-147.5684,2.5,6.20,13,"Southern Alaska"
