Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14518076,1,"Thursday, October  1, 2009 14:21:35 UTC",36.3751,-117.8535,2.4,4.80,34,"Central California"
ci,14518060,1,"Thursday, October  1, 2009 14:15:09 UTC",36.3880,-117.8661,1.6,6.30,20,"Central California"
ak,10012358,1,"Thursday, October  1, 2009 14:06:49 UTC",63.6384,-148.4905,2.7,15.20,37,"Central Alaska"
ci,14518044,1,"Thursday, October  1, 2009 14:03:11 UTC",36.4035,-117.8738,2.1,2.50,32,"Central California"
ci,14518036,1,"Thursday, October  1, 2009 14:02:32 UTC",36.3808,-117.8488,1.5,4.20,23,"Central California"
ci,14518028,1,"Thursday, October  1, 2009 14:01:52 UTC",36.3765,-117.8548,1.5,3.80,22,"Central California"
ci,14518020,1,"Thursday, October  1, 2009 13:59:33 UTC",36.3950,-117.8740,2.2,0.60,31,"Central California"
nc,71290276,0,"Thursday, October  1, 2009 13:56:47 UTC",37.0402,-121.7777,1.6,6.20,15,"Northern California"
ak,10012355,1,"Thursday, October  1, 2009 13:55:17 UTC",54.0807,-165.0797,2.5,81.90,11,"Fox Islands, Aleutian Islands, Alaska"
ak,10012352,1,"Thursday, October  1, 2009 13:43:19 UTC",61.7572,-150.4014,2.3,70.50,18,"Southern Alaska"
hv,00035471,0,"Thursday, October  1, 2009 13:41:40 UTC",18.9865,-155.4810,2.0,38.50, 0,"Hawaii region, Hawaii"
ci,14517988,1,"Thursday, October  1, 2009 13:37:50 UTC",36.3855,-117.8633,1.6,4.70,23,"Central California"
ci,14517980,1,"Thursday, October  1, 2009 13:36:17 UTC",36.3651,-117.8655,1.6,2.90,24,"Central California"
ci,14517972,1,"Thursday, October  1, 2009 13:34:50 UTC",36.3871,-117.8660,2.7,1.50,34,"Central California"
ci,14517964,1,"Thursday, October  1, 2009 13:33:10 UTC",36.3851,-117.8608,1.8,3.60,27,"Central California"
