Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14500992,1,"Sunday, August 16, 2009 18:45:50 UTC",33.2128,-116.1741,1.8,18.20,15,"Southern California"
us,2009kjbx,6,"Sunday, August 16, 2009 18:42:24 UTC",-1.4897,99.3805,5.1,23.50,41,"Kepulauan Mentawai region, Indonesia"
nc,71266436,0,"Sunday, August 16, 2009 18:21:13 UTC",37.6658,-122.5133,1.4,9.20,14,"offshore Northern California"
nc,71266421,0,"Sunday, August 16, 2009 18:04:01 UTC",38.7930,-122.8015,1.9,3.50,15,"Northern California"
