Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10000861,1,"Thursday, July 16, 2009 11:39:33 UTC",60.1416,-141.6522,1.1,0.00, 6,"Southern Alaska"
ak,10000860,1,"Thursday, July 16, 2009 11:34:14 UTC",54.4490,-164.3352,1.2,68.00, 5,"Unimak Island region, Alaska"
ak,10000854,1,"Thursday, July 16, 2009 10:56:25 UTC",55.6059,-163.6206,3.5,53.30,22,"Unimak Island region, Alaska"
nc,71249101,0,"Thursday, July 16, 2009 10:56:05 UTC",40.7205,-124.7678,2.8,6.30,40,"offshore Northern California"
