Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nn,00286441,1,"Friday, June 19, 2009 14:48:17 UTC",37.4330,-117.0790,1.3,0.00,43,"Nevada"
ci,14476712,1,"Friday, June 19, 2009 14:33:39 UTC",36.3995,-117.8300,1.6,1.50,24,"Central California"
nc,40238384,1,"Friday, June 19, 2009 14:13:00 UTC",35.9242,-120.4773,2.9,9.70,106,"Central California"
ak,00109579,1,"Friday, June 19, 2009 14:08:14 UTC",51.6118,-175.9528,3.2,77.40,10,"Andreanof Islands, Aleutian Islands, Alaska"
ci,14476688,1,"Friday, June 19, 2009 14:06:51 UTC",33.4588,-116.5878,1.2,12.60,47,"Southern California"
us,2009ibaw,7,"Friday, June 19, 2009 14:05:00 UTC",35.3850,28.3913,5.9,40.40,43,"eastern Mediterranean Sea"
