Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14520508,1,"Saturday, October  3, 2009 05:51:27 UTC",36.4175,-117.8755,2.1,4.90,30,"Central California"
ak,10012749,1,"Saturday, October  3, 2009 05:45:50 UTC",56.5770,-155.8911,3.4,0.10,12,"Alaska Peninsula"
ci,14520500,1,"Saturday, October  3, 2009 05:45:22 UTC",36.3868,-117.8660,1.6,3.70,27,"Central California"
nc,71292281,0,"Saturday, October  3, 2009 05:41:45 UTC",39.5277,-123.3240,2.2,3.10,14,"Northern California"
ci,14520484,1,"Saturday, October  3, 2009 05:38:41 UTC",36.3846,-117.8598,2.9,0.50,38,"Central California"
ci,14520476,C,"Saturday, October  3, 2009 05:31:57 UTC",36.3950,-117.8686,4.7,1.60,34,"Central California"
ci,14520460,1,"Saturday, October  3, 2009 05:25:43 UTC",36.0326,-117.8385,1.6,3.30,28,"Central California"
ci,14520452,1,"Saturday, October  3, 2009 05:23:57 UTC",33.4650,-116.5705,1.2,15.00,42,"Southern California"
nc,71292256,0,"Saturday, October  3, 2009 05:22:24 UTC",36.9528,-121.5910,1.2,4.70,18,"Northern California"
us,2009mhbd,7,"Saturday, October  3, 2009 05:20:58 UTC",30.0362,79.8510,4.4,26.70,16,"Uttaranchal, India"
ci,14520444,1,"Saturday, October  3, 2009 05:19:11 UTC",36.3991,-117.8500,2.1,3.10,22,"Central California"
ak,10012747,1,"Saturday, October  3, 2009 05:14:56 UTC",63.4879,-148.3179,1.5,6.10,15,"Central Alaska"
ci,14520436,1,"Saturday, October  3, 2009 05:14:21 UTC",36.3943,-117.8761,2.1,4.70,30,"Central California"
ci,14520420,1,"Saturday, October  3, 2009 05:05:33 UTC",36.4005,-117.8676,2.6,5.00,37,"Central California"
