Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10006031,1,"Sunday, August 23, 2009 06:51:40 UTC",62.2397,-150.8716,2.5,77.00,36,"Central Alaska"
ci,14501420,1,"Sunday, August 23, 2009 06:41:42 UTC",34.6551,-116.3286,1.9,3.20,19,"Southern California"
ak,10006029,1,"Sunday, August 23, 2009 06:29:04 UTC",63.1645,-150.2585,1.3,100.00,10,"Central Alaska"
ci,14501412,1,"Sunday, August 23, 2009 06:29:00 UTC",34.2936,-118.6591,1.4,4.90,28,"Greater Los Angeles area, California"
ci,14501404,1,"Sunday, August 23, 2009 06:23:27 UTC",34.3230,-118.4541,1.4,6.20,29,"Greater Los Angeles area, California"
