Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nn,00318343,7,"Sunday, October 10, 2010 10:48:30 UTC",37.1423,-117.3825,1.7,13.40,25,"Nevada"
nc,71466790,0,"Sunday, October 10, 2010 10:46:50 UTC",38.8213,-122.7825,1.3,0.10, 5,"Northern California"
nc,71466780,1,"Sunday, October 10, 2010 10:46:26 UTC",38.8280,-122.7575,2.0,0.10,23,"Northern California"
nc,71466785,0,"Sunday, October 10, 2010 10:46:12 UTC",38.8270,-122.7553,1.5,0.70, 6,"Northern California"
nc,71466775,1,"Sunday, October 10, 2010 10:18:13 UTC",38.0388,-118.7845,2.7,10.20,40,"Central California"
