Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14508972,1,"Thursday, September 10, 2009 21:46:29 UTC",34.3213,-116.4573,1.6,7.60,45,"Southern California"
us,2009ljcc,6,"Thursday, September 10, 2009 21:37:23 UTC",-4.6454,153.2016,5.3,74.70,42,"New Ireland region, Papua New Guinea"
ci,14508964,M,"Thursday, September 10, 2009 21:30:55 UTC",34.8426,-118.7716,1.1,0.00,11,"Southern California"
nc,71278916,2,"Thursday, September 10, 2009 21:21:48 UTC",39.4782,-121.2265,2.7,13.50,31,"Northern California"
