Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nn,00317606,7,"Friday, October  1, 2010 07:36:08 UTC",37.1560,-117.3680,1.0,15.90, 6,"Nevada"
ak,10091128,1,"Friday, October  1, 2010 07:30:46 UTC",58.6967,-155.3152,2.0,0.00,10,"Alaska Peninsula"
ci,14851004,2,"Friday, October  1, 2010 07:29:37 UTC",33.9693,-117.1518,1.4,16.10,42,"Greater Los Angeles area, California"
us,2010bwa1,6,"Friday, October  1, 2010 07:26:21 UTC",-18.8437,169.6367,5.2,295.70,43,"Vanuatu"
nn,00317605,7,"Friday, October  1, 2010 07:26:04 UTC",37.1198,-117.3900,1.7,5.10,27,"Central California"
nc,71462615,0,"Friday, October  1, 2010 07:25:28 UTC",38.7563,-122.6972,1.3,1.50, 6,"Northern California"
nc,71462610,0,"Friday, October  1, 2010 07:24:55 UTC",38.7560,-122.7337,1.4,0.00, 9,"Northern California"
nc,71462600,1,"Friday, October  1, 2010 07:24:39 UTC",38.7557,-122.7333,2.1,1.60,31,"Northern California"
nc,71462605,0,"Friday, October  1, 2010 07:23:33 UTC",38.7427,-122.7387,1.0,2.50, 5,"Northern California"
ci,14850988,2,"Friday, October  1, 2010 07:10:02 UTC",33.5403,-116.6725,1.1,11.80,16,"Southern California"
ci,14850980,2,"Friday, October  1, 2010 06:58:42 UTC",33.6200,-116.7493,1.6,17.20,72,"Southern California"
nn,00317601,7,"Friday, October  1, 2010 06:55:51 UTC",37.1775,-117.2772,1.2,7.00, 9,"Nevada"
