Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71296840,0,"Monday, October 19, 2009 22:39:33 UTC",38.7837,-122.7355,1.0,1.60,15,"Northern California"
ak,10016091,1,"Monday, October 19, 2009 22:27:34 UTC",63.0897,-151.4337,1.3,0.00, 9,"Central Alaska"
ak,10016090,1,"Monday, October 19, 2009 22:23:12 UTC",66.3112,-142.3857,2.6,40.00,09,"northern Alaska"
ak,10016088,1,"Monday, October 19, 2009 22:18:19 UTC",66.3414,-142.3595,2.7,16.20,11,"northern Alaska"
us,2009myb1,6,"Monday, October 19, 2009 22:18:17 UTC",-6.8950,124.0057,5.2,607.90,56,"Banda Sea"
