Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71483576,0,"Thursday, November  4, 2010 01:57:13 UTC",38.8082,-122.8082,1.5,1.10,18,"Northern California"
ci,14873876,2,"Thursday, November  4, 2010 01:35:19 UTC",35.8035,-118.0417,1.4,10.70,17,"Central California"
nc,71483566,1,"Thursday, November  4, 2010 01:29:01 UTC",38.8235,-122.8245,1.8,2.50,33,"Northern California"
ci,14873852,2,"Thursday, November  4, 2010 01:23:45 UTC",33.9965,-117.1793,1.6,6.80,37,"Greater Los Angeles area, California"
nc,71483561,1,"Thursday, November  4, 2010 01:22:08 UTC",36.6865,-121.3153,2.1,4.40,37,"Central California"
us,b0000acw,4,"Thursday, November  4, 2010 01:15:40 UTC",51.2723,-176.5116,4.6,39.00,47,"Andreanof Islands, Aleutian Islands, Alaska"
us,b0000acx,3,"Thursday, November  4, 2010 01:11:55 UTC",51.2026,-176.3645,4.5,70.70,37,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71483556,0,"Thursday, November  4, 2010 01:10:25 UTC",38.7505,-122.6873,1.3,1.20, 7,"Northern California"
us,b0000act,8,"Thursday, November  4, 2010 01:05:48 UTC",51.2866,-176.4574,5.0,53.80,263,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71483546,0,"Thursday, November  4, 2010 01:00:06 UTC",38.8250,-122.7988,1.1,3.20,18,"Northern California"
