Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14477304,1,"Saturday, June 20, 2009 15:58:00 UTC",34.4140,-116.4858,1.3,7.90,34,"Southern California"
nc,40238457,1,"Saturday, June 20, 2009 15:46:26 UTC",35.6423,-120.9415,1.5,6.30,22,"Central California"
ci,14477288,1,"Saturday, June 20, 2009 15:27:31 UTC",33.6415,-116.6815,1.7,26.80,48,"Southern California"
nc,40238455,1,"Saturday, June 20, 2009 15:22:27 UTC",35.6375,-120.9328,1.3,6.20,25,"Central California"
nc,40238454,1,"Saturday, June 20, 2009 15:15:33 UTC",35.6422,-120.9335,1.3,6.60,13,"Central California"
