Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14471056,1,"Tuesday, June  9, 2009 20:35:04 UTC",33.1953,-116.6416,1.1,6.90,30,"Southern California"
nc,40237883,1,"Tuesday, June  9, 2009 20:21:25 UTC",36.7137,-121.3550,1.4,4.00,13,"Central California"
nc,40237881,1,"Tuesday, June  9, 2009 20:11:00 UTC",37.8203,-121.9532,1.9,6.20,13,"San Francisco Bay area, California"
ak,00108410,1,"Tuesday, June  9, 2009 20:10:46 UTC",51.4234,-178.6584,2.2,30.30,07,"Andreanof Islands, Aleutian Islands, Alaska"
