Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14464432,1,"Thursday, May 28, 2009 14:54:37 UTC",35.7875,-117.6256,1.3,19.70,10,"Southern California"
hv,00034145,0,"Thursday, May 28, 2009 14:44:26 UTC",18.9650,-155.4825,2.0,32.80, 0,"Hawaii region, Hawaii"
ak,00106734,1,"Thursday, May 28, 2009 14:39:10 UTC",54.2401,-165.6491,2.2,96.00,10,"Fox Islands, Aleutian Islands, Alaska"
nc,51222320,1,"Thursday, May 28, 2009 14:05:38 UTC",37.0398,-121.4718,1.3,10.80,19,"Northern California"
hv,00034144,0,"Thursday, May 28, 2009 14:03:45 UTC",19.4182,-155.2663,2.1,2.80, 0,"Island of Hawaii, Hawaii"
