Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14508060,1,"Wednesday, September  9, 2009 00:46:39 UTC",35.9495,-117.2885,1.7,3.90,19,"Central California"
uw,09090045,0,"Wednesday, September  9, 2009 00:45:57 UTC",46.5693,-121.8223,2.0,0.30,11,"Washington"
ak,10008549,1,"Wednesday, September  9, 2009 00:37:33 UTC",61.5545,-149.9997,2.5,26.00,27,"Southern Alaska"
nc,71273245,0,"Wednesday, September  9, 2009 00:29:10 UTC",38.8128,-122.8183,1.5,2.30,19,"Northern California"
ak,10008548,1,"Tuesday, September  8, 2009 23:56:03 UTC",63.2539,-151.1225,1.4,6.70,07,"Central Alaska"
