Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14513876,1,"Tuesday, September 22, 2009 20:51:34 UTC",35.9551,-117.3378,1.3,7.10,19,"Central California"
ci,14513868,1,"Tuesday, September 22, 2009 20:50:02 UTC",33.7071,-116.8441,1.0,8.20,26,"Southern California"
ci,14513852,1,"Tuesday, September 22, 2009 20:27:53 UTC",35.9551,-117.3413,1.6,3.40,14,"Central California"
ci,14513844,1,"Tuesday, September 22, 2009 20:17:56 UTC",34.1685,-118.1256,1.9,1.90,12,"Greater Los Angeles area, California"
