Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71457015,0,"Saturday, September 18, 2010 09:41:44 UTC",37.1468,-121.9805,1.3,11.50,10,"Northern California"
ci,14843172,2,"Saturday, September 18, 2010 09:22:07 UTC",33.3860,-116.3963,1.0,11.80,47,"Southern California"
ci,14843164,2,"Saturday, September 18, 2010 09:17:52 UTC",36.0845,-117.6222,1.9,8.10, 9,"Central California"
nc,71457000,0,"Saturday, September 18, 2010 09:11:51 UTC",37.4108,-118.4433,1.3,11.40, 8,"Central California"
