Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nn,00285951,1,"Friday, June 12, 2009 14:45:27 UTC",37.2910,-114.8080,1.4,0.00,11,"Nevada"
us,2009hua7,6,"Friday, June 12, 2009 14:32:55 UTC",-17.3550,167.6375,5.1,35.90,36,"Vanuatu"
ak,00108759,1,"Friday, June 12, 2009 14:28:35 UTC",60.4585,-141.9675,1.2,0.50, 9,"Southern Alaska"
nc,40238070,1,"Friday, June 12, 2009 14:23:13 UTC",36.4697,-121.0420,2.9,4.10,73,"Central California"
ak,00108758,1,"Friday, June 12, 2009 14:14:08 UTC",52.0831,-174.0014,1.2,100.00,07,"Andreanof Islands, Aleutian Islands, Alaska"
