Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10079663,1,"Friday, September 17, 2010 20:43:12 UTC",59.1015,-149.7494,3.9,13.20,52,"Kenai Peninsula, Alaska"
ci,14842788,2,"Friday, September 17, 2010 20:34:36 UTC",33.1818,-116.0307,1.4,20.90,46,"Southern California"
nc,71456770,1,"Friday, September 17, 2010 20:23:17 UTC",38.7650,-122.7342,2.2,3.10,41,"Northern California"
ak,10079545,1,"Friday, September 17, 2010 20:01:46 UTC",60.5740,-149.2722,1.6,25.40,13,"Kenai Peninsula, Alaska"
