Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10011770,1,"Tuesday, September 29, 2009 00:49:44 UTC",63.9409,-148.8410,2.3,0.10,21,"Central Alaska"
ci,14516708,1,"Tuesday, September 29, 2009 00:35:20 UTC",33.4970,-116.7538,1.3,12.20,48,"Southern California"
nc,71287951,0,"Tuesday, September 29, 2009 00:15:32 UTC",38.8253,-122.8003,1.7,0.00,18,"Northern California"
nn,00293472,1,"Tuesday, September 29, 2009 00:12:38 UTC",37.1180,-114.4130,1.7,0.00,12,"Nevada"
ak,10011767,1,"Tuesday, September 29, 2009 00:09:51 UTC",63.0079,-149.7815,2.0,96.00,24,"Central Alaska"
