Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14520292,1,"Saturday, October  3, 2009 03:54:48 UTC",36.3985,-117.8741,2.5,5.80,36,"Central California"
ci,14520276,1,"Saturday, October  3, 2009 03:52:40 UTC",36.3995,-117.8630,1.6,2.60,23,"Central California"
ci,14520268,1,"Saturday, October  3, 2009 03:45:39 UTC",36.3943,-117.8670,1.9,5.40,27,"Central California"
nc,71292161,0,"Saturday, October  3, 2009 03:45:13 UTC",38.8067,-122.8115,1.9,2.30,31,"Northern California"
ak,10012743,1,"Saturday, October  3, 2009 03:41:50 UTC",61.5356,-146.6804,1.7,34.40,12,"Southern Alaska"
ci,14520252,1,"Saturday, October  3, 2009 03:39:32 UTC",36.4140,-117.8575,1.8,5.90,22,"Central California"
ci,14520244,1,"Saturday, October  3, 2009 03:37:41 UTC",36.3888,-117.8671,2.7,3.50,37,"Central California"
ci,14520236,1,"Saturday, October  3, 2009 03:29:44 UTC",34.0003,-117.0090,1.4,15.90,66,"Southern California"
ci,14520212,1,"Saturday, October  3, 2009 03:24:10 UTC",36.3978,-117.8733,1.8,5.50,34,"Central California"
nc,71292131,0,"Saturday, October  3, 2009 03:17:29 UTC",36.0897,-120.2153,2.5,8.70,34,"Central California"
nc,71292126,0,"Saturday, October  3, 2009 03:16:01 UTC",40.3475,-123.3952,1.7,28.80,10,"Northern California"
ci,14520180,1,"Saturday, October  3, 2009 03:14:06 UTC",36.3835,-117.8370,2.1,3.40,24,"Central California"
ci,14520172,1,"Saturday, October  3, 2009 03:11:17 UTC",36.4095,-117.8543,3.1,1.80,38,"Central California"
ci,14520164,1,"Saturday, October  3, 2009 03:09:18 UTC",36.3826,-117.8661,2.2,3.80,37,"Central California"
ci,14520156,1,"Saturday, October  3, 2009 03:08:05 UTC",36.3871,-117.8798,1.4,9.50,25,"Central California"
ci,14520148,1,"Saturday, October  3, 2009 03:06:21 UTC",36.4075,-117.8550,1.6,4.10,28,"Central California"
