Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nn,00318068,7,"Tuesday, October  5, 2010 21:49:10 UTC",37.1488,-117.3802,1.5,14.00,13,"Nevada"
nn,00318067,7,"Tuesday, October  5, 2010 21:48:18 UTC",37.1497,-117.3577,1.4,11.30, 9,"Nevada"
nn,00318066,7,"Tuesday, October  5, 2010 21:45:56 UTC",37.1487,-117.3362,1.1,7.00, 5,"Nevada"
nn,00318064,7,"Tuesday, October  5, 2010 21:38:09 UTC",37.1433,-117.3573,1.3,7.10,10,"Nevada"
nc,71464635,0,"Tuesday, October  5, 2010 21:37:45 UTC",36.5862,-121.4183,1.8,0.50,13,"Central California"
nn,00318063,7,"Tuesday, October  5, 2010 21:34:39 UTC",37.1437,-117.3673,1.3,7.00,10,"Nevada"
nc,71464630,1,"Tuesday, October  5, 2010 21:29:18 UTC",38.8162,-122.7945,1.2,3.80,23,"Northern California"
nn,00318059,7,"Tuesday, October  5, 2010 21:28:10 UTC",37.1440,-117.3748,1.4,11.00,10,"Nevada"
nc,71464625,0,"Tuesday, October  5, 2010 21:26:12 UTC",37.3180,-122.1088,1.7,0.00,10,"San Francisco Bay area, California"
nn,00318065,7,"Tuesday, October  5, 2010 21:22:46 UTC",37.1526,-117.3758,4.1,9.20,10,"Nevada"
nc,71464615,0,"Tuesday, October  5, 2010 21:16:03 UTC",36.8915,-121.6317,1.5,0.00,12,"Central California"
nc,71464605,0,"Tuesday, October  5, 2010 21:14:00 UTC",35.6087,-120.7680,1.0,5.20, 7,"Central California"
