Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10107639,1,"Monday, October 25, 2010 00:27:26 UTC",61.4661,-151.8869,1.5,72.80,12,"Southern Alaska"
nc,71478451,0,"Monday, October 25, 2010 00:09:18 UTC",38.8357,-122.7757,1.2,2.00,16,"Northern California"
nc,71478446,1,"Monday, October 25, 2010 00:08:37 UTC",38.5217,-122.6033,2.2,5.40,20,"Northern California"
nc,71478441,1,"Monday, October 25, 2010 00:06:39 UTC",38.8087,-122.7930,1.3,3.40,24,"Northern California"
ak,10107628,1,"Monday, October 25, 2010 00:04:03 UTC",61.6118,-146.4064,1.8,26.80,23,"Southern Alaska"
