Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,00110285,1,"Thursday, June 25, 2009 06:50:39 UTC",64.8968,-146.8707,1.3,0.00,04,"Central Alaska"
us,2009ihaf,7,"Thursday, June 25, 2009 06:43:49 UTC",-19.1885,169.2948,5.1,35.00,30,"Vanuatu"
ak,00110281,1,"Thursday, June 25, 2009 06:34:53 UTC",61.4957,-146.4582,2.2,20.10,19,"Southern Alaska"
ci,14479392,1,"Thursday, June 25, 2009 06:21:00 UTC",34.6553,-120.7385,2.2,5.80,18,"offshore Central California"
nc,71238491,0,"Thursday, June 25, 2009 06:14:43 UTC",38.8330,-122.7527,1.4,0.00,10,"Northern California"
ak,00110280,1,"Thursday, June 25, 2009 06:06:58 UTC",61.4915,-146.6324,1.6,24.80,04,"Southern Alaska"
