Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14471616,1,"Wednesday, June 10, 2009 19:45:19 UTC",35.9570,-117.2850,1.3,6.50,18,"Central California"
nc,40237953,1,"Wednesday, June 10, 2009 19:23:38 UTC",36.8487,-121.4367,1.0,4.50,10,"Central California"
nc,40237952,1,"Wednesday, June 10, 2009 19:21:25 UTC",37.8215,-121.9577,1.4,5.40, 8,"San Francisco Bay area, California"
ak,00108535,1,"Wednesday, June 10, 2009 19:18:18 UTC",60.0466,-151.7760,2.8,67.60,40,"Kenai Peninsula, Alaska"
