Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71464355,0,"Tuesday, October  5, 2010 06:43:36 UTC",36.6730,-121.2972,1.1,4.40,10,"Central California"
nc,71464350,0,"Tuesday, October  5, 2010 06:43:06 UTC",36.6727,-121.2985,1.0,4.10, 8,"Central California"
ak,10092708,1,"Tuesday, October  5, 2010 06:42:51 UTC",64.4809,-147.2046,1.6,0.00,10,"Central Alaska"
nc,71464340,0,"Tuesday, October  5, 2010 06:36:50 UTC",36.4727,-121.0512,1.3,6.40,13,"Central California"
ci,14853332,2,"Tuesday, October  5, 2010 06:35:13 UTC",32.6148,-116.1567,1.6,12.50,11,"Southern California"
ak,10092700,1,"Tuesday, October  5, 2010 06:34:19 UTC",62.9619,-149.2820,2.0,76.50,22,"Central Alaska"
nc,71464335,0,"Tuesday, October  5, 2010 06:25:04 UTC",38.7828,-122.7410,1.0,0.40,14,"Northern California"
nc,71464330,0,"Tuesday, October  5, 2010 06:13:26 UTC",38.8047,-122.7970,1.1,3.00,18,"Northern California"
ci,14853316,2,"Tuesday, October  5, 2010 06:12:37 UTC",33.5152,-116.1825,1.3,8.20,11,"Southern California"
nn,00318002,7,"Tuesday, October  5, 2010 06:11:45 UTC",37.1353,-117.3872,1.5,13.40,16,"Central California"
nc,71464325,0,"Tuesday, October  5, 2010 06:06:33 UTC",38.7970,-122.7370,1.0,1.80,12,"Northern California"
ak,10092694,1,"Tuesday, October  5, 2010 06:04:05 UTC",62.1075,-152.0506,1.6,107.40, 8,"Central Alaska"
nc,71464320,0,"Tuesday, October  5, 2010 06:03:50 UTC",38.7972,-122.7368,1.0,1.50,13,"Northern California"
