Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14523036,1,"Monday, October  5, 2009 17:39:56 UTC",36.3911,-117.8620,1.5,3.70,22,"Central California"
ci,14523028,1,"Monday, October  5, 2009 17:29:35 UTC",34.0478,-117.1018,1.3,6.00,45,"Greater Los Angeles area, California"
ci,14523020,1,"Monday, October  5, 2009 17:27:01 UTC",33.2003,-115.8806,1.5,8.70,41,"Southern California"
nc,71294256,0,"Monday, October  5, 2009 17:23:21 UTC",37.1128,-118.3042,2.0,6.20,15,"Central California"
