Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
uw,09171448,0,"Friday, September 17, 2010 14:48:39 UTC",46.5238,-121.3776,2.1,0.00,13,"Washington"
nn,00316798,7,"Friday, September 17, 2010 14:33:18 UTC",37.9972,-114.6820,1.5,7.10, 7,"Nevada"
ak,10079497,1,"Friday, September 17, 2010 14:27:56 UTC",60.2324,-150.9858,1.6,64.60,10,"Kenai Peninsula, Alaska"
nc,71456650,1,"Friday, September 17, 2010 14:26:54 UTC",36.1172,-121.6168,2.9,5.90,86,"Central California"
ak,10079495,1,"Friday, September 17, 2010 14:20:19 UTC",61.2952,-151.7010,1.5,72.40,15,"Southern Alaska"
ci,14842564,2,"Friday, September 17, 2010 14:17:00 UTC",32.8782,-116.2552,1.4,14.20,23,"Southern California"
ci,14842556,2,"Friday, September 17, 2010 14:16:33 UTC",32.8785,-116.2630,1.7,8.80,26,"Southern California"
ci,14842548,2,"Friday, September 17, 2010 14:14:59 UTC",35.8450,-117.6688,1.9,5.70,11,"Central California"
nc,71456630,1,"Friday, September 17, 2010 14:10:09 UTC",38.8285,-122.8030,2.4,2.10,47,"Northern California"
ci,14842540,2,"Friday, September 17, 2010 13:52:45 UTC",35.8410,-117.6708,1.8,4.80,27,"Central California"
nc,71456625,0,"Friday, September 17, 2010 13:52:40 UTC",39.8758,-120.4718,1.7,0.80, 9,"Northern California"
